	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	natural_killer_cell	monocyte	B_cell	T_cell	granulocyte
ADIPOGENESIS	-0.0163510940765782	0.0707285410609765	0.104319100570381	0.00304587362630315	0.179206384575973	0.173466913306325	0.325461505750984	-0.0392726226995261	-0.125285382412328	-0.00278176796032546	-0.109481969413179	-0.235469294997629	-0.42534617495354	0.115076057728549	-0.0402805080515791	-0.0269143445699909	0.00648380762252055	-0.0593543604621091	-0.195792220407631	-0.0362398243738718	0.184542733852299	0.0581948150677749	-0.0655955493754717	0.138767534996695	-0.122508265715346
ALLOGRAFT_REJECTION	0.116074905744427	-0.213054344308686	-0.0384505545857644	0.0102794288027315	-0.235728320802962	-0.0110070039730302	-0.379606807775808	-0.0882646818047306	0.120697361391249	0.0161345535093609	0.0266120431282225	0.51673444450912	0.671889784150701	-0.251629768710825	-0.000387948797366229	-0.017344474929273	0.0280250258404192	-0.178775701838052	0.0539757502101624	0.0637577927994499	-0.240685655446336	-0.1418851570128	0.0526725937110076	-0.0425311890506422	0.0537734144586114
ANDROGEN_RESPONSE	0.0540450901673068	-0.0631197859013488	0.15778454362033	-0.0227108112015102	0.280989210491457	-0.0832149237487065	0.0612786287995305	0.0852975303048283	0.0336454772304226	0.00410453661974648	-0.0664852786756786	-0.130393368447701	-0.454215547765444	0.103902183450844	-0.026183417460731	-0.00143954893838992	0.0359956681626825	0.0663485960890478	0.0387868127366175	-0.0147376208124029	0.28411510307565	-0.0289568230764953	0.0441146046445245	0.141248307650344	0.0395954116259166
ANGIOGENESIS	0.0845084329272404	-0.042645078633829	0.00697742886533899	-0.000279212182583299	0.103755147153517	0.0808894003375116	0.103777884730575	0.011998622502359	-0.0220898002872955	0.0518852280505075	-0.0935730050191626	0.107093250626027	-0.251846605144767	0.104942895781472	0.0532383898453501	-0.0790230057980039	-0.124641172202636	0.0184942150466784	0.0897909444877826	-0.0694251773395932	0.103568524415746	0.0369435117162885	-0.106796438944814	0.0244731338930286	-0.0103776649523316
APICAL_JUNCTION	0.043883356159869	-0.0842794616209575	-0.0121215229328659	-0.0354076230957047	0.163623378325487	0.20836784202207	0.175910728400071	-0.110303212581741	-0.138558675908614	0.0161903366674322	-0.118872307264363	0.0889772786007582	-0.26751241016207	0.0440964808040715	0.0297250717450823	-0.0337382720137025	0.0541365224003084	-0.0896152314680776	0.201193914303439	-0.111916397532571	0.15901112384519	-0.0786505344806793	0.105015040073325	0.0326283196028614	-0.163545665003323
APICAL_SURFACE	0.0107538114896602	-0.10242850652053	0.0177738627543143	-0.0469378182291756	0.0468347735667555	0.118649268544878	-0.00393674193390882	-0.072033199648045	0.0758319656090673	-0.0366335388998013	-0.144867453518734	0.0514028089900145	-0.107793022635446	-0.0150894293702114	-0.0668122115146605	-0.0325905847653134	0.033229688173047	-0.0168700963321762	0.0702537618761074	0.0786113043222064	0.0418557231431898	-0.129021186464666	0.0499510340538776	0.042117005815576	0.0314465158779232
APOPTOSIS	0.0906982347370793	-0.162067457774157	0.0866882282395457	-0.0311442119444517	-0.0329806341800374	0.134477386587986	-0.178382042960025	-0.0873461405800782	0.060973151504511	-0.07254199028826	-0.166437337121513	0.322673658186661	0.323805811036464	-0.131125051407853	-0.0201668980916178	-0.0327270115946606	-0.0564553791806723	-0.225461083498313	0.0844921718862088	0.107609294748451	-0.0421411310476591	-0.110751664054598	-0.0477060399855352	0.110868735900873	-0.0188002894842268
BILE_ACID_METABOLISM	-0.16239887926378	0.299650075205919	0.138372440325095	0.0476755177652451	-0.0156037707501699	0.0395294922054359	0.353057669742489	0.097406096788016	-0.0281500479493133	-0.0311028679588079	-0.156924329033254	-0.365845868081756	-0.302189816745677	0.107401826004147	-0.0281534918202212	-0.135846995982897	-0.132754103676103	0.0605394572754085	-0.198299494401454	-0.0366513249197405	-0.004853159302607	0.217761209615998	-0.196526795757925	0.147592350523248	-0.00444177500758543
CHOLESTEROL_HOMEOSTASIS	-0.111227471091098	0.18686712688374	-0.185519968820086	0.0193014755848833	0.0112649880396231	-0.0622051581585896	0.265818653120457	0.115542755519005	-0.0292235557306653	0.00416705491596399	-0.0593906735624046	-0.267427902750243	-0.265183407291789	0.0692177896283172	-0.01452731526149	0.0196076462846404	-0.0562101467328365	0.181328664288568	0.0579853918765964	-0.0559539774307208	0.0202518502492029	0.104048413318066	-0.0273911265745579	-0.191845124473185	0.0330332067148282
COAGULATION	-0.0461140569589622	-0.0194938589705854	-0.188474012671006	-0.0577501608960981	-0.105240628792163	0.206465985206996	0.0307467745627001	-0.0281376923745774	0.149733112753615	0.0484409220562521	-0.1667361275264	0.190201103895027	0.081978674204335	-0.0224517345798941	0.0191632893913829	-0.309770791869272	-0.290172867044429	-0.0604708265188807	0.0373170157340254	0.34028300310623	-0.120905059167266	-0.0671405441266726	-0.278855879455449	-0.135524294946591	0.0692943813075645
