tumor	p-value
ESCA	0.7350859599162833
ACC	0.9095779565766421
STAD	0.6666462986869672
KIRP	0.7176173539811252
MESO	0.13335556498865023
LUAD	0.09881283543588508
SARC	0.704323405136283
KIRC	0.6232483594186684
LUSC	0.4887003762536941
KICH	0.9947970934681982
THCA	0.36349560341375176
THYM	0.4870553015596819
CHOL	0.7024400589591435
READ	0.6252311272064441
DLBC	0.5648572307009028
COAD	0.5027334410569394
BRCA	0.5236208387050164
PCPG	0.004522660222123799
SKCM	0.04485725935272008
LGG	0.21433614267210221
LIHC	0.8495540775677971
UVM	0.88816279463943
HNSC	0.8199829241013088
BLCA	0.3082967341900671
PAAD	0.7521445448311169
