ENSG	GeneSymbol	log2FoldChange	padj
ENSG00000000003.13	TSPAN6	-0.371	0.946886107673314
ENSG00000000419.11	DPM1	0.055	0.9847672713064
ENSG00000000457.12	SCYL3	-0.453	0.885022407507379
ENSG00000000460.15	C1orf112	0.593	0.754551052340158
ENSG00000000938.11	FGR	-1.369	0.550424066059536
ENSG00000000971.14	CFH	-0.096	0.994617878470561
ENSG00000001036.12	FUCA2	0.058	0.991023137179418
ENSG00000001084.9	GCLC	2.189	0.0182732020381904
ENSG00000001167.13	NFYA	0.517	0.747415530884413
ENSG00000001460.16	STPG1	-0.148	0.977181771104685
ENSG00000001461.15	NIPAL3	-0.444	0.848907079907702
ENSG00000001497.15	LAS1L	0.101	0.972374169433838
ENSG00000001561.6	ENPP4	-0.216	0.967982758850391
ENSG00000001617.10	SEMA3F	1.211	0.665542413134667
ENSG00000001626.13	CFTR	-1.786	0.807535448718652
ENSG00000001629.8	ANKIB1	-0.084	0.986263367826178
ENSG00000001630.14	CYP51A1	-0.628	0.838694812268637
ENSG00000001631.13	KRIT1	0.227	0.944188078141109
ENSG00000002016.15	RAD52	0.706	0.678365997377289
ENSG00000002079.11	MYH16	0.189	0.987824373716955
ENSG00000002330.12	BAD	-0.851	0.680542917015986
ENSG00000002549.11	LAP3	-1.19	0.185966846270154
ENSG00000002586.16	CD99	-0.277	0.940045978184469
ENSG00000002587.8	HS3ST1	0.468	0.932871574616364
ENSG00000002726.18	AOC1	2.711	0.662679157168106
ENSG00000002746.13	HECW1	2.836	0.231874973551238
ENSG00000002822.14	MAD1L1	-0.182	0.967982758850391
ENSG00000002834.16	LASP1	0.389	0.843132228839961
ENSG00000002919.13	SNX11	-0.106	0.97898315564799
ENSG00000002933.6	TMEM176A	-0.058	0.99704405881357
ENSG00000003056.6	M6PR	0.061	0.990172517863484
ENSG00000003096.12	KLHL13	-2.825	0.153323409804941
ENSG00000003137.7	CYP26B1	1.286	0.856660175395848
ENSG00000003147.16	ICA1	0.476	0.885186058798632
ENSG00000003249.12	DBNDD1	-0.441	0.930688958821927
ENSG00000003393.13	ALS2	0.12	0.977083217234299
ENSG00000003400.13	CASP10	-0.006	0.998757978576098
ENSG00000003402.18	CFLAR	-0.123	0.963337893034027
ENSG00000003436.13	TFPI	-0.353	0.977181771104685
ENSG00000003509.14	NDUFAF7	0.592	0.489314711314484
ENSG00000003756.15	RBM5	0.074	0.987824373716955
ENSG00000003987.12	MTMR7	-0.026	0.99721597945701
ENSG00000003989.15	SLC7A2	0.296	0.977652173235484
ENSG00000004059.9	ARF5	-0.316	0.907054866253379
ENSG00000004139.12	SARM1	0.201	0.977181771104685
ENSG00000004142.10	POLDIP2	-0.263	0.910121113111785
ENSG00000004399.11	PLXND1	-0.131	0.979689701413654
ENSG00000004455.15	AK2	-0.701	0.679168642567698
ENSG00000004468.11	CD38	0.444	0.967982758850391
ENSG00000004478.7	FKBP4	0.111	0.981173501878545
ENSG00000004487.14	KDM1A	0.284	0.90622685812824
ENSG00000004534.13	RBM6	0.885	0.550424066059536
ENSG00000004660.13	CAMKK1	1.45	0.42795486910169
ENSG00000004700.14	RECQL	0.103	0.987824373716955
ENSG00000004766.14	VPS50	-0.183	0.953310783646196
ENSG00000004776.10	HSPB6	-1.598	0.567125232543944
ENSG00000004777.17	ARHGAP33	-0.47	0.876304083918127
ENSG00000004779.8	NDUFAB1	-0.324	0.894369063287301
ENSG00000004799.7	PDK4	-3.152	0.183154411079622
ENSG00000004838.12	ZMYND10	-0.49	0.949322889205756
ENSG00000004864.12	SLC25A13	-0.143	0.975758083741914
ENSG00000004866.17	ST7	-0.235	0.897142700203855
ENSG00000004897.10	CDC27	0.142	0.951984485472979
ENSG00000004961.13	HCCS	-0.683	0.521041779512345
ENSG00000004975.10	DVL2	0.918	0.215280049878323
ENSG00000005001.8	PRSS22	-0.183	0.987824373716955
ENSG00000005007.11	UPF1	-0.077	0.97288345678241
ENSG00000005020.11	SKAP2	0.127	0.982526347127772
ENSG00000005022.5	SLC25A5	-0.313	0.917973526829735
ENSG00000005059.14	CCDC109B	-0.622	0.910121113111785
ENSG00000005075.14	POLR2J	-0.319	0.913944308962241
ENSG00000005100.11	DHX33	0.988	0.201517812809368
ENSG00000005102.11	MEOX1	-3.014	0.249414499044076
ENSG00000005108.14	THSD7A	-0.873	0.863124038065261
ENSG00000005156.10	LIG3	0.91	0.323239597458042
ENSG00000005175.8	RPAP3	-0.278	0.797997690008722
ENSG00000005187.10	ACSM3	-2.435	0.411888375164181
ENSG00000005189.18	AC004381.6	0.094	0.987824373716955
ENSG00000005194.13	CIAPIN1	-0.25	0.910121113111785
ENSG00000005206.15	SPPL2B	0.663	0.712113206755887
ENSG00000005238.18	FAM214B	-0.262	0.946638815747218
ENSG00000005243.8	COPZ2	-0.301	0.961436738757234
ENSG00000005249.11	PRKAR2B	-1.611	0.62455376446269
ENSG00000005302.16	MSL3	-0.39	0.846753778662783
ENSG00000005339.11	CREBBP	0.053	0.989649297811421
ENSG00000005379.14	BZRAP1	1.158	0.721569234605317
ENSG00000005421.7	PON1	-1.469	0.863748321024616
ENSG00000005436.12	GCFC2	0.311	0.841850862284961
ENSG00000005448.15	WDR54	0.176	0.977739368539447
ENSG00000005469.10	CROT	-0.746	0.695670382454865
ENSG00000005471.14	ABCB4	-2.125	0.698069776549329
ENSG00000005483.18	KMT2E	0.215	0.935315735713054
ENSG00000005486.15	RHBDD2	-0.475	0.800197612264745
ENSG00000005513.9	SOX8	3.19	0.159764398545792
ENSG00000005700.13	IBTK	0.012	0.998117201067154
ENSG00000005801.15	ZNF195	0.468	0.810126282181737
