tumor	p-value
STAD	0.6363563451619886
LIHC	1.83943739024975e-05
CHOL	0.649826319850733
KIRC	1.1446866589735955e-06
SKCM	0.4474884976400615
CESC	0.2913260669636677
PCPG	0.5776713989526503
COAD	0.011970973743978337
ESCA	0.01305775813753079
LUSC	3.6253536153988344e-09
THYM	0.502305516816005
HNSC	0.49670844348704934
THCA	2.8167761524632496e-22
KIRP	0.00016593392326403526
BRCA	3.913475532604505e-43
LUAD	6.732916955860999e-07
BLCA	0.8657995163443818
READ	0.8863242768692898
PRAD	0.0005667125102475296
KICH	2.612279763263159e-07
UCEC	0.0482441531547258
SARC	0.9519992383033558
PAAD	0.1951257611159909
