tumor	p-value
SARC	0.11007193881019767
UCS	0.701647123013907
LUSC	0.027771366072033298
COAD	0.0010859906547549187
PCPG	0.05910528621338559
THCA	0.46167243090596577
MESO	0.5635341054512778
KICH	0.979527957644263
STAD	0.3234199811594871
LGG	0.5583432282670464
CESC	0.10881886980983863
LUAD	0.25349023819911465
SKCM	0.1625166088304183
UVM	0.36572216068672014
KIRP	0.04910163247079845
KIRC	0.08435336679567708
TGCT	0.32674544855055165
THYM	0.584849730799673
ESCA	0.5487321397579388
UCEC	0.7664921147066321
ACC	0.09987740276926413
PRAD	0.9051623727527527
PAAD	0.04422177118129017
OV	0.33871437751811184
READ	0.6417796398822184
HNSC	0.6553256546657169
DLBC	0.3829149776342603
BLCA	0.6369031109502712
LIHC	0.1274436285910576
BRCA	0.42834665621460677
CHOL	0.25470749409104365
