tumor	p-value
LUSC	0.4887003762536941
ESCA	0.7350859599162833
SARC	0.704323405136283
SKCM	0.04485725935272008
BRCA	0.5236208387050164
LUAD	0.09881283543588508
HNSC	0.8199829241013088
THCA	0.36349560341375176
STAD	0.6666462986869672
CHOL	0.7024400589591435
ACC	0.9095779565766421
LGG	0.21433614267210221
BLCA	0.3082967341900671
THYM	0.4870553015596819
KICH	0.9947970934681982
DLBC	0.5648572307009028
LIHC	0.8495540775677971
PAAD	0.7521445448311169
UVM	0.88816279463943
KIRP	0.7176173539811252
PCPG	0.004522660222123799
KIRC	0.6232483594186684
COAD	0.5027334410569394
MESO	0.13335556498865023
READ	0.6252311272064441
