tumor	p-value
ACC	0.9095779565766421
CHOL	0.7261938620326103
KIRC	0.5987432483553702
PAAD	0.7410721741830077
BRCA	0.5438481547117229
ESCA	0.7439457846238722
LIHC	0.8402488428097914
MESO	0.13335556498865023
PCPG	0.004420634723705126
SARC	0.7223224923799669
HNSC	0.8149170638034275
LUSC	0.49919475744597563
THYM	0.49334392097268387
COAD	0.4778864566234817
KIRP	0.7152581352002441
KICH	0.9739898914432757
THCA	0.35558384786793984
UVM	0.8805059379063607
DLBC	0.5224312849615645
BLCA	0.3167320953060828
LUAD	0.09467511168296626
LGG	0.21926615186737008
STAD	0.6637617569861038
SKCM	0.04752346721260302
READ	0.6252311272064441
