tumor	p-value
STAD	0.12941929732435556
PCPG	0.026909622972058903
PRAD	0.05679053818826878
CHOL	nan
KICH	nan
THYM	0.24757313587411423
UCEC	0.24141310941453953
SARC	0.5687570520507196
OV	0.24391186396485343
UCS	0.9102211269092669
BLCA	0.9665435902629894
HNSC	0.45763624176951334
READ	0.4624382166861545
BRCA	0.9080243336974151
LGG	0.5582737429516561
LIHC	0.9219415837683617
ESCA	0.8212454418915747
TGCT	0.1856122642249466
MESO	0.7139291428111454
LUSC	0.25387586201036294
DLBC	0.5931862546017165
KIRP	0.09445626970806835
SKCM	0.30705629268675416
UVM	0.47264332017124955
ACC	0.5804982381935844
COAD	0.07759695083957302
THCA	0.00845464700382017
LUAD	0.6651070143656046
KIRC	0.41933651958377294
CESC	0.10415129212547374
PAAD	0.49885833474470254
