tumor	p-value
UVM	nan
KIRP	0.48742512290148277
SKCM	0.3468456620042957
LUAD	0.6155939580823854
KICH	0.6130277128969588
LUSC	0.21919327125308008
COAD	0.07763424222854534
STAD	0.30719202010554325
KIRC	0.4932127534525713
ACC	0.6526029086492382
HNSC	0.1079104803775024
BRCA	0.15849444479991825
LIHC	0.00021993191203382675
READ	0.591221588846709
LGG	0.013408909936739781
SARC	0.3235343369787488
MESO	0.9793065331235665
BLCA	0.06880921064017083
PAAD	0.03269965285934898
THCA	0.2633485654268771
PCPG	0.11454476620511707
ESCA	0.3054365740999595
GBM	0.24131368849688628
